userName,score,at,content
Danang Dimas,1,10/13/2023 18:56,"Nge bug terus. Aplikasi bisa di buka tapi keluar di saat buka menu cek pemenang undi undi hepi. Semoga bisa teratasi sehingga bisa digunakan oleh semua HP baik entry level, mid range hingga high end"
Rengga Mahardika.D.P,1,10/3/2023 3:39,"Kecewa, kebanyakan trouble, di check in, claim reward, masa aktif, dan beberapa fitur yg di buka malah gak bisa contohnya mau top up makek spay/lainya trouble, bolak balik di arahin ke playstore.. pakai apsnya buat ngisi malah gak keisi dan ilang.. 🥲 Udah bertahun tahun setia makek meskipun banyak trouble di aplikasi.. tapi kecewa berat untuk sekarang.. gak sekali 2x."
Didi Wijaya,1,9/16/2023 9:53,"Tambah parah saja app ya..nih skrg saya tdk bs buka, kemarin lemot lalu skrg sama sekali tidak bisa buka setelah update..tolong yg tidak penting atau jarang di buka buang saja dalam app nya. Contoh seperti belanja tiket2,apa lagi saya dapat voucher indomaret pas mau di pakai tidak ditemukan di tmpt voucher buat berat saja app ya kalau tidak bisa di gunakan spt tu."
Taraja Man,1,10/24/2023 4:55,"Paket internet super mahal, tapi jaringan super lemot. Kita beli paket nelpon, tapi pas dipake justru sering macet2. Beli paket internet super promo, tapi lemotnya minta ampun SUPER LELET. Lebih baik ganti kartu ke yang lain aja deh. Makin lama makin gak jelas jaringan kalian ini. Kadang2 bahkan kita hampir banting hp gegara jaringannya 🤷🏽‍♂️"
Jundi Ch.,2,10/3/2023 23:32,"Makin buruk performa. Widget ngebug mulu g update terus padahal udh refresh koneksi lancar jaya. Mau make koneksi data atau wifi sama aja lemot HAHAHAHA. Aplikasinya jug kadang logout sendiri, Kadang malah no connection padahal mo beli paket. Padahal udh beli paket mahal mahal ( G PERNAH DIBAWAH 120 REBUAN :) 2 TAHUN ) . Kualitas aplikasi sampah betul. Dasar pemakan duit ."
Mega Chania,3,10/11/2023 9:17,"Sebelum di update aman-aman saja, setelah diupdate malah nggk bisa dibuka. Masuk beranda langsung ketutup, aplikasinya tambah berat. Solusinya gimana, padahal biasanya selalu pake aplikasi ini buat isi pulsa maupun paketan."
FTS PRIME,1,10/26/2023 20:27,"Saya merasa kecewa dengan telkomsel ini!!, saya sudah membeli paket netflix basic, namun sms aktivasi akun netflix tidak dikirimkan ke nomor saya. Saya telah membayar dan tidak ada kejelasan! Sudah saya hubung cs lewat aplikasi, cs tidak dapat diandalkan, cs aplikasi ini adalah cs paling paling terburuk yang pernah ada di Indonesia!"
Raymond Orlando,1,10/20/2023 20:13,"Habis update bukannya makin bagus, malah makin buruk. Loading aplikasi lama, mau liat menu lain loading ga bisa², jaringan kartu halo jelek, semakin banyak user bukannya makin improve, eh malah besar kepala makin downgrade. Kalo ga siap buat aplikasi dan jaringan, mending ga usah atau jual murah aja !!! Mengecewakan !!!"
dhepin yusuf,1,10/11/2023 1:42,Maaf bintang saya kurangi. Setelah di update malah tidak bisa di buka aplikasinya. Aplikasi saat di buka langsung close sendiri. Sudah saya coba berulang ulang tetap sama. Saya pake hallo dan paket otomatisnya baru masuk.Tapi malah tidak bisa di buka aplikasinya setelah update mau cek kuota. Mohon di tindaklanjuti. RAM saya cuma 4 Gb. Uda refres RAM dan pembersihan rutin di i Manager tetap close sendiri Aplikasinya. Bintang akan saya kembalikan 5 kalo uda pulih. 👃👃👃
Kashiki,1,10/10/2023 21:54,"Kenapa sinyal suka jelek tolong lah perbaiki.. Tambah makin kesini makin mahal harganya tolong lah kalau udh jadi pelangan tetap kurangi bukan di tambah harganya saya udh jadi gold tetapi harga paket tambah mahal Dan sekarang saya update aplikasi ini sering kgk muncul layar seperti no hp, pulsa nya, mau beli paket kuota tapi kgk ada tampilan nya kaya yang loading terus, sekarang tambah berat keluar aplikasi melulu"
Andari Rochmani,1,10/1/2023 7:13,"Sdh lama mgkn hampir sebulan terakhir ini aplikasi tdk bisa di buka, sdh sy uninstall dan sy install ulang tp ttp saja tdk bs dibuka aplikasi nya, sllu muncul notif ""MyTelkomsel telah berhenti"" saat membuka aplikasi. Pdhl aplikasi tsb penting unt cek pulsa dan atau kuota, beli paket dan info2 lain nya."
Ai.Q[愛],1,10/11/2023 6:23,"Untuk versi 7.1.0 tolong diperbaiki !! Banyak pengguna yang tidak dapat masuk ke aplikasi atau force close di home page setelah selesai loading masuk. Saya jadi mencari apk versi lama untuk dapat masuk aplikasi. Sekali lagi, TOLONG SEGERA DIPERBAIKI!!!"
Petani Kecil 86,1,10/8/2023 17:06,"Beli paket pakai potong Pulsa ada menu pilihan nya...,tapi pas kita beli paket dan mau bayar pakai pulsa eh gangguan terus , padahal kata Csnya tidak ada gangguan, entah Aplikasinya bermasalah atau memang menu bayar Pakai pulsa itu memang di kunci ... sehingga walaupun di klik tetap tidak bisa sangat mengecewakan..."
bang ghe,1,10/27/2023 23:33,Kalo ada bontang minus baka di isi bintang minus kali. Update trus menerus aplikasi. Tapi terus aja gak bisa di buka sama sekali. Padahal hp ram 4gb. Ini aplikasi biasa yang bukanya melebihi game yang banyak fitur. Sebagai pengguna aplikasi my Telkomsel Sejak lama merasa sangat kecewa dengan update 3 terakhir ini.
Ions Cloud,1,10/12/2023 18:31,"Harga paket data gak ada yang murah, deskripsi paket juga gak lengkap membingungkan... dah lah kecewa sama tlkomsel yang sekarang. Propider lain semakin murah dan menarik... tolong di samakan dikit lah, bedanya jgn terlalu jauh."
Aya Supardi,1,10/6/2023 20:02,"Lama² males pake telkomsel, sangat mengecewakan. Selain harganya yg semakin tinggi di tiap bulannya, juga jaringannya semakin lemot. Dan lebih mengecewakan lagi, ketika dapat SMS pulsa darurat, dan TIDAK merasa ngetik apa². Tiba² main aktif aja itu pulsa darurat. Yg akhirnya kita juga yg harus bayar tagihan. Perusahan besar kok seperti itu?"
Brian Livardo,1,10/10/2023 15:57,Setelah update malah bug. Tgl 10 okt 23. Malah jd cacat apk nya. Rollback deh kembalikan ke versi sebelum nya. Lagian ngapain UI nya di buat rumit. Ga simple2 aja. Mau keliatan canggih dan keren tp masih banyak issue apk nya. Setiap di klik cm sampai logo mytelkomsel terus ilang. Sudah clear cache dan install ulang hasil sama aja. Telp ke call center cm dibuat kan no tiket blm ada info lanjutan akan spt apa. Ga lulus SDLC apk nya saat pengembangan.
Noviyanti Sari,1,10/29/2023 19:49,"Setelah di update kenapa malah gak bisa dibuka aplikasinya malah ngebug terus aneh banget, padahal sudah sampe instal ulang berkali kali aplikasi nya tetap aja gak bisa kebuka ngebug , tolong dong diperbaiki sistemnya!"
Arif Hidayat,1,10/28/2023 14:43,Setelah update terbaru aplikasi malah jadi lemot banget kaya yg error .. padahal saya pake hp samsung note 10 plus ram 12gb.. ga masuk akal klo hp di salahin.. bagusan my telkomsel versi sebelum nya tidak ada kendala .. mohon uji tes dulu sebelum update versi
Matchalatte,1,10/14/2023 12:58,"Update bagus, cuma kuota menjadi terbatas. Kebiasaan beli yang sebutuhnya karena ada WiFi, sekarang minimal harus 5GB, harga mahal dan dituntut untuk selalu aktif kuota. Untuk pembayaran juga hanya via itu-itu saja, tidak bisa menggunakan m-banking atau e-wallet lainnya. Sangat mengecewakan."
Abill,1,9/24/2023 20:58,"Aplikasi di hp saya sih aman setelah update, namun aplikasi ini di hp ayah saya tidak bisa dibuka sama sekali karena keberatan fitur update. Mending simpel simpel aja mah aplikasi model begini, klo bisa UI minimalis yg tidak banyak style"
Wahyu Ridho,2,10/28/2023 18:10,"Makin kesini sistemnya makin payah, masa aktivasi paket sampe berhari-hari ga dapet konfirmasi, dicoba ulang juga tetep sama, padahal statusnya aktivasi diproses, tolong pihak pengembang atau yg bersangkutan lebih efisien lg dalam hal seperti ini. Makasih"
Sulis Tyawan,4,10/4/2023 0:16,"Sy punya 2 device, m banking & ewalet sudah sy pindahkan ke device yg baru. kebetulan device baru sy kena blokir imei, & tidak bisa dipasang kartu tsel, & bisa pakai kartu selain tsel. Sy download app ini di device baru biar lebih mudah dalam pembelian pulsa & data karena tidak ada metode pembayaran Qris, selesai log in sampe beranda cuma loading terus. Pakai jaringan data & wifi sudah dicoba & tidak berpengaruh."
Farhat Sungkar,1,9/22/2023 7:48,"Maaf...... Bintang terpaksa turun. Kalau bisa tidak pakai bintang. Aplikasi tidak bisa dibuka sejak diupdate. Setiap buka aplikasi selalu terpental keluar. Diupdate... Bukannya aplikasi tertambah bagus, malah jadi tidak berfungsi."
Karji Wiyono,2,10/29/2023 13:15,"Aplikasi nya makin lelet,lemott bangett,bukannya mempermudah dan mempercepat kegiatan di aplikasi,dan juga tolong adakan keamanan untuk menjaga pulsa supaya ga tersedot sampai habis padahal kuota internet melimpah,dan ga pernah beraktivitas menggunakan pulsa tau tau pulsa habis tersedot🙏🏻"
Muhammad Ilham,1,10/13/2023 12:19,"Makin kesini, makin ribet dan berat aplikasinya. Koneksi lancar untuk ngapa-ngapain. Pas buka my telkomsel mutar muter mutar muter ga kelar-kelar. Saran aja min, ga perlu pake animasi yang WAW. Cukup yang ringan saja kaya dulu, yang penting transaksi dan informasi tersampaikan kepada customer. Ini mau ngecek kuota sama mau liat kuota aja kudu sabar nya minta ampun."
Fins Des,1,10/27/2023 17:58,"Telkomsel sekarang mengecewakan, tahun ini sering banget ada problem, pulsa tidak masuk lah padahal di konter tulisannya berhasil. sama juga sinyal, sinyal full pakek nonton / main game kadang gak bisa jalan sama sekali. Sudah cukup berlangganan ama telkom. 👎👎👎👎"
SLB Ngaso Management,1,10/22/2023 8:25,"Aplikasi suka lemot. Ada fitur yg ngak bisa kebuka terutama yg ""kirim hadiah"". Knp setelah diupdate cuma tampilan aja yg keren tp aplikasinya jd ngak sekeren sblm di update. Pdhal udah android versi 9 dan ram 4gb, free rom jg masih 12gb. Kurang apa lg coba. Perbaiki sistemlah. Klo blm siap update jgn buru2 update sistemlah. Bukannya pelayanan customer lebih mudah, tp malah menyusahkan customer jadinya. Ayo tim IT telkomsel lebih keras kerjanya. Minta naik gaji klo dirasa kurang biar kerja jos"
elsa mecca sabyla,1,10/26/2023 21:36,"Tiap beli pulsa lewat keranjangkuning, pulsa nya gak masuk.. padahal saldo udah berkurang, padahal udah ada notif pembayaran berhasil.. 2kali transaksi dengan nominal di atas 100ribu looohhhh.. astaghfirullah..jahat banget.. gak cuman sekali atau dua kali.. butuh bukti? saya ada buktinya"
Haekal Fachmy,1,10/14/2023 4:05,"Aplikasi macam apa ini, tear saya udah smpai platinum, ehh malah gak bisa klaim hadiahnya. Dan malah di arahkan buat top up pulsa lagi.. 🤯 voucher pulsa yg sya dapat dari hadiah transaksi juga ehh malah gak kebaca di opsinya.. pengen tukar poin juga ehh malah yg adanya hanya untuk kartu halo, dn yg lain hnya untuk Australia dan Jepang.. trus apa untungnya bnyak poin tpi gak bisa di tukar kan tak."
All Bhitto,1,10/10/2023 22:37,"Aplikasi sampah!!!!! setelah di update bukannya tambah bagus+ringan malah jadi tambah berat+ngebug sering for close juga. Mending hapus fitur atau hal yg gak guna, apk nya jg cuman buat cek kuota atau beli kuota doang!"
Nur Aida Azzuhra,1,9/20/2023 0:19,"Tak perlu sering2 update lah, karna keseringan jadi gini nih, sama sekali gak bisa di bukak aplikasinya, setiap masuk, tiba2 kepental, jadikan gak tw ad promo murah ap gak nya, tolong cepat perbaiki!!!!"
ahfi ahmed,1,10/3/2023 20:59,"setelah update makin lemot dan terlalu berlebihan di tampilannya, dibikin sederhana aj, biar lebih simple dan kelihatan minimalis, dan saya kok setiap mau masuk keluar otomatis terus ya, tolong diperbaiki, terimakasih"
Taufan Rezzafri,1,10/27/2023 6:54,"Beli paket zoom pro 3 hari, uang sudah terpotong, paket sudah aktif tapi link registrasi tidak dikirim. Tambahan lagi, redeem poin tier gold gagal, poin memang dikembalikan, tapi redeem nya setelah itu hilang, tinggal yang platinum, what a joke"
Muhammad Ramadhan,1,9/20/2023 18:31,"Semakin ke sini aplikasi MyTelkomsel semakin buruk. Dari mulai stuck saat loading, lag/lemot, dan sekarang aplikasi sering force close saat di buka alias benar-benar tidak bisa dibuka. Saran saya untuk sekelas aplikasi Android tidak perlu fitur yang terlalu berlebihan sehingga membuat aplikasi menjadi lag dan crash."
Yonanda ardi Ferdian,1,10/23/2023 20:20,"Setelah di update,malah tidak bisa dibuka sama sekali.selalu force close. Saya mau isi pulsa + top up kuota jadi tidak bisa. Baru kali ini mengalami,setelah tahunan jadi pelanggan. Laporan juga tidak ada tanggapan sampai sekarang. Sungguh mengecewakan."
Bang Doels,2,10/12/2023 9:13,"harga paket paling mahal,tapi ngga sebanding dengan kualitas jaringan. area batuah,loa janan bahkan sering hanya tersedia jaringan EDGE. jika posisi standby,jaringan 4G muncul.saat buka aplikasi jaringan berubah ke EDGE 😂😂 kenapa g jual paket jaringan sesuai yg tersedia di masing-masing area aja"
Miftahul Jannah,1,9/29/2023 9:49,"Setelah di-update, dan masuk ke aplikasi lagi tapi ga bisa karena terkendala jaringan terus, Padahal aku punya kuota dan lancar-lancar aja buat masuk ke aplikasi lain. Diaplikasi ini malah katanya ada kesalahan terus. Dan aplikasi nya makin berat setelah di-update, ga cocok buat hp ku yang termasuk android kebawah."
Ngo pi,2,10/26/2023 20:14,"Pelanggan lama itu aset ,,, harusnya lebih dimanjakan. Jgn sampai pelanggan lama kecewa dan pergi beralih. Pelanggan baru belum tentu setia, kdang cuma cari paketan murah doang. Gk perlu promo2an. Tariklah minat konsumen agar menjadi pelanggan setia dengan promo makin tua kartu telkomselmu makin besar diskonnya. Makin murah harga paketnya, sehingga pelanggan baru akan tertarik untuk bertahan pakai Tsel. Jngn kebalik. Makin lama make malah makin mahal"
denny nurmansyah,5,10/14/2023 4:51,"jaringan oke, pembayaran juga ok dan sangat membantu untuk sistem limid kredit ini yang dimana, disaat tanggal tua masih bisa beli paket menggunakan limid kuota yg tersedia. dan cukup berpariasi, udh gitu banyak pilihan paket yg sesuai kebutuhan"
Dandi Dermawan,1,10/21/2023 12:18,? sinyal sangat BURUK. SANGAT SANGATTTT KECEWAAA. harga normal sinyal ny sangatttt jelek. gak rekomendasi . harus di tempat tertentu baru ada sinyal bagus. menurutku ini gak workit kalian pakai kalo di desa². bagus paki yg lain aja. dari pada kecewaaa.
RidzkyRivaldy,3,10/5/2023 0:48,"Nambah 2bintang, udh sdikit lebih stabil ,Ya dan sebelum""nya memang aga lemot tampilan sisa koutanya di widget malah bisa ilang. Padahal fitur yg bgus. Ui udh bgus cuman klo bikin ga nyaman dan performa jadi turun."
ipung cahyadi,1,10/24/2023 1:21,"Aplikasi ga ngaruh, yg ngaruh itu dari kecurangan kalian, bisa"" Sinyal tiap beberapa menit kok ngefreeze, kadang ilang 4G nya. Bukanya apa ya, kita udah beli paket yg harganya pun lumayan, masa iya dari kalian sendiri malah ngasih pengalaman buruk makin kesini makin jelek kualitas jaringan. Setidaknya kalo gk bisa ngasih harga murah ya koneksi dikencengin, biar sesuai tuh ama harganya yg mahal. Jangan branding aja gamau kalah. Nyatanya semakin kesini semakin bobrok."
Ayi Barrnas,5,10/10/2023 15:10,"Kenapa ga masuk ke jaringan my telkomsel ? Awalnya diaplikasi meminta di update akantetapi setelah di update langsung sama sekali tidak bisa di buka, muncul ""my Telkomsel telah berhenti"" Beberapa aaran yang dimuat sudah dilakukan diantaranya ; 1. Membuang coky / sampah 2. Mereset atau restart 3. An install Kesimpulan dan saran saya : Kalau sekiranya dalam pembuatan aplikasi belum final jangan dipaksakan untuk di update, atau dipasang di play store."
FIERDYAN FIN,5,10/19/2023 12:45,"Disarankan untuk pengguna telkomsel beli masa aktifnya kartu, lainnya tidak menguntungkan, paketnya bermacam-macam tetapi tidak ada yang cepat untuk internet maupun download file, harga mahal kecepatan super slowpow... 3mb/5mb hanya tampilan, semua serba dipisah... Makasih bintang 5"
ISAM 91,1,10/10/2023 20:10,"Setelah update malah sering keluar sendiri, beberapa kali hapus data tetap setiap selesai login aplikasi keluar sendiri, beberapa kali hapus dan install ulang tetap sama aplikasi selalu keluar sendiri, tolong perbaiki masalah yang terjadi, terimakasih."
Dede Suhada,3,10/4/2023 13:17,"Pket internet tidak bisa diandalkan lemot buka aplikasi aja kadang dak bisa, kalah sama op swasta, padahal sinyal kuat 4G. Saya pake paket kombo, tolong ditingkatkan lebih baik lagi."
carolin Olin,1,10/20/2023 12:13,"Sangat buruk. Tiap kali beli paketan, selalu pulsanya yg berkurang bukan paket internet nya, padahal udah dapet smsm kl paketan udah aktif. Sebelumnya sudah komplen dan ditukar pulsa sm pihak telkomsel. Dan ini terulang lagi lagi dan lagi. Cs juga lama,gak nyambung pula. Komplen lewat aplikasi diarahin ke WA, dituruti ke WA diarahin lagi ke Aplikasi. Buruk minta ampun, emosi, kapok,kesel jadi satu! Payah banget!"
Herman Suherman,2,10/11/2023 14:00,"Kemarin 10-10-2023 ngikuti saran update, ternyata muncul sebentar dan langsung menghilang sendiri; dicoba untuk beberapa kali dengan jeda waktu, masih tetap begitu. Dicoba didelet aplikasinya dan didownload kembali, masih begitu; sudah 3 kali didelet dan didownload kembali, sampai sekarang 11-10-2023 masih tetap begitu, muncul sebentar kemudian hilang sendiri. Bagaimana ini?"
Joseph hutabarat Fauzi,3,10/21/2023 13:13,Knp kalau masuk ke aplikasinya tidak seperti biasa...harus konfrmasi nomer dulu...dan setelah itupun masih ada sesi pertanyaan lagi...tidak efesien Menu utama tidak dpt dilihat lagi Mau lihat promo pun tidak bisa Mempersulit konsumen aja
Rifki 4You,1,9/30/2023 17:59,"bintang 1 gatau kenapa akhir akhir ini telkom down banget buat aplikasi tiktok,yt,ig dll apalagi pas dipake buat maen mobile legend sering jumping padahal sebelum-sebelumnya lancar banget+kuota internet juga banyak, tolong di perbaiki lagi kecepatan internetnya bang developer/staf dll. terimakasih!"
Muhamad Ridwan Ramadhan,1,10/11/2023 6:34,"Kenapa suka sekali nyedot pulsa tanpa sepengetahuan sih? Harusnya kalau paket data habis itu ga otomatis nyedot pulsa! Ini wajib segera diperbaiki sistemnya, keluhan user dari lama loh ini. Mahal iya tapi kualitas kurang memuaskan. Makin kesini jaringan internetnya jadi ga jelas gini, HARGA MAHAL KUALITAS TIDAK MEMUASKAN! ZERO STAR sih harusnya."
Lia Aulia,1,10/7/2023 16:02,"Saya mengalami kendala dengan lamanya proses loading aplikasi ini, bahkan tampilan aplikasinya pun tidak muncul dengan baik. Menurut pendapat saya, versi sebelumnya dari aplikasi My Telkomsel lebih responsif dan tidak mengalami masalah loading seperti ini. Saya harap perbaikan dapat segera dilakukan."
rachmiasih enggarsini,1,10/14/2023 20:55,"Update makin mengecewakan! Dulu beli pulsa/ paket data bisa menambah masa aktif, sekarang tidak bisa! Memaksa konsumen untuk membayar lebih! Data utama cepat habis, padahal data OMG nonton masih utuh, paket data kemahalan GX sesuai! Dahlah, masih aktif gegara kontak lawas aja..."
Dewi Ikhsani,1,9/28/2023 18:30,"Setelah update kenapa gak bisa dibuka sama sekali? Mau beli kuota jg gak bisa, banyak yg gk penting di dalam aplikasi tambah berat jg aplikasinya. Gk cocok buat hp kentang kek gini, enak yg dulu tetep lancar. Tolonglah diperbaiki lagi! Paling ngga bisa dibuka, walaupun jadi macet hp nya"
Susanto Leetung,2,10/12/2023 21:35,Aplikasi hampir setiap bulan minta di update ! Harga Paket data paling mahal !!! Ada stempel berhadiah dan daily cek in dulu tapi sudah tidak masuk akal ! Terpaksa pakai karena didaerah tidak ada pilihan operator lain.
